bid,ask
0.006772,0.0067804
0.0067724,0.0067796
0.0067724,0.0067796
0.0067724,0.0067796
0.006772,0.0067804
0.0067726,0.0067822
0.0067726,0.0067822
0.0067726,0.0067822
0.0067726,0.0067822
0.0067734,0.0067821
0.0067734,0.0067821
0.0067734,0.0067821
0.0067705,0.0067811
0.0067705,0.0067811
0.0067734,0.0067821
0.0067841,0.0067842
0.0067841,0.0067842
0.0067841,0.0067842
0.0067841,0.0067842
0.0067841,0.0067842
0.0067851,0.0067883
0.0067857,0.0067883
0.0067857,0.0067883
0.0067844,0.0067883
0.0067857,0.0067883
0.0067844,0.0067883
0.0067842,0.0067883
0.0067842,0.0067883
0.0067842,0.0067894
0.0067842,0.0067896
0.0067843,0.0067884
0.0067843,0.006787
0.0067843,0.006787
0.0067843,0.006787
0.0067845,0.006791
0.0067861,0.0067927
0.0067845,0.006791
0.0067861,0.0067927
0.0067752,0.0067812
0.0067744,0.0067812
0.006775,0.0067812
0.0067744,0.0067812
0.006796,0.0068051
0.006796,0.0068051
0.006796,0.0068032
0.006796,0.0068049
0.006796,0.0068049
